"V1" "V2"
"1" 4417139.23244734 5334204.36401677
"2" 4417477.65601575 5335023.21583514
"3" 4417500.31227757 5334991.69757261
"4" 4417552.07484084 5334932.90220725
"5" 4417566.71453792 5334920.90481253
"6" 4417575.83781737 5334930.86766239
"7" 4417589.61611438 5334913.4022602
"8" 4417597.12191116 5334916.42843863
"9" 4417617.83407437 5334875.7278274
"10" 4417768.72343913 5334948.02882131
"11" 4417780.17481089 5334935.64757025
"12" 4417792.59854463 5334908.19960423
"13" 4417802.193838 5334860.76572915
"14" 4417810.19073551 5334827.80161058
"15" 4417816.53721871 5334750.5580513
"16" 4417816.73159587 5334723.57998107
"17" 4417816.40782705 5334691.68857928
"18" 4417806.49039832 5334600.37782853
"19" 4417807.49408275 5334564.77743396
"20" 4417807.65599009 5334518.28016616
"21" 4417810.9414209 5334425.97708401
"22" 4417816.11133634 5334333.91635935
"23" 4417822.83728551 5334293.00563475
"24" 4417848.85728306 5334236.43111588
"25" 4417873.40669813 5334160.10966621
"26" 4417139.23244734 5334204.36401677
