"Parcel" "x" "y"
"1" 1 4417475.55888 5334999.61055
"2" 2 4417484.83567 5334961.4945
"3" 3 4417484.83567 5334961.4945
"4" 4 4417467.34058 5334930.34861
"5" 5 4417485.74608667 5334941.25886333
"6" 6 4417505.06201 5334931.93348
"7" 7 4417444.91625 5334908.88586
"8" 8 4417475.45207132 5334917.94343429
"9" 9 4417509.70151333 5334911.13843667
"10" 10 4417542.07297 5334899.19802
"11" 11 4417542.07297 5334899.19802
"12" 12 4417445.64749 5334874.93094
"13" 13 4417462.84637185 5334888.03842462
"14" 14 4417502.17326485 5334887.16494481
"15" 15 4417544.04113286 5334880.53235271
"16" 16 4417572.32052 5334869.15657333
"17" 17 4417593.06944 5334857.4404
"18" 18 4417618.7334 5334854.0819
"19" 19 4417658.15666 5334859.59256
"20" 20 4417658.15666 5334859.59256
"21" 21 4417686.79686 5334867.51279667
"22" 22 4417714.62423396 5334872.84113375
"23" 23 4417702.47065 5334883.60946
"24" 24 4417717.18356 5334892.11308
"25" 25 4417765.67314 5334924.09192
"26" 26 4417716.96386109 5334868.50113183
"27" 27 4417763.25234 5334893.57398
"28" 28 4417761.42358 5334871.96172
"29" 29 4417786.5939 5334860.30746
"30" 30 4417760.54817 5334828.67426
"31" 31 4417750.99874441 5334845.50836853
"32" 32 4417711.14779677 5334844.42688246
"33" 33 4417669.95586067 5334842.07464935
"34" 34 4417629.92738093 5334839.00771304
"35" 35 4417596.14222028 5334839.78474798
"36" 36 4417558.78436777 5334845.49382565
"37" 37 4417519.17400447 5334852.50183534
"38" 38 4417483.01303839 5334849.91429402
"39" 39 4417444.6978702 5334857.71349543
"40" 40 4417410.84543 5334846.48059
"41" 41 4417420.66009 5334802.80027
"42" 42 4417436.25627539 5334822.80640022
"43" 43 4417478.42665266 5334816.68705631
"44" 44 4417518.70650117 5334813.80270141
"45" 45 4417555.4855696 5334813.72453553
"46" 46 4417595.59405391 5334806.52017889
"47" 47 4417632.8486105 5334803.61930865
"48" 48 4417673.83194884 5334809.60259771
"49" 49 4417712.15342209 5334810.25635304
"50" 50 4417748.11033574 5334807.48757362
"51" 51 4417768.65622 5334776.57821
"52" 52 4417801.64738 5334753.68174
"53" 53 4417775.72092667 5334761.01116667
"54" 54 4417745.53242199 5334769.04016636
"55" 55 4417713.01487767 5334772.77676453
"56" 56 4417674.57761188 5334772.44079283
"57" 57 4417633.85810402 5334770.68199629
"58" 58 4417592.80550852 5334772.50447986
"59" 59 4417553.11139734 5334774.95945345
"60" 60 4417515.65840472 5334777.09158127
"61" 61 4417478.8357506 5334784.64075929
"62" 62 4417435.41557698 5334786.37305166
"63" 63 4417403.07602 5334773.12326
"64" 64 4417377.73166 5334738.16459
"65" 65 4417413.37280813 5334754.16729994
"66" 66 4417454.08514175 5334750.07163944
"67" 67 4417489.99690777 5334744.33342395
"68" 68 4417532.58655871 5334742.53551647
"69" 69 4417571.67003829 5334740.98464769
"70" 70 4417612.7444965 5334737.69334454
"71" 71 4417652.12184483 5334736.34365605
"72" 72 4417690.1455707 5334733.67342445
"73" 73 4417733.28823838 5334735.37068615
"74" 74 4417771.13308992 5334735.88732787
"75" 75 4417784.80119 5334719.01856
"76" 76 4417811.48349 5334694.58788
"77" 77 4417788.27385667 5334699.96474667
"78" 78 4417754.50192665 5334701.68497561
"79" 79 4417714.43619414 5334700.97210145
"80" 80 4417672.2459367 5334701.22545515
"81" 81 4417628.16559584 5334700.05855695
"82" 82 4417594.45430672 5334705.21782279
"83" 83 4417552.48887494 5334708.87300332
"84" 84 4417510.83019906 5334709.50576433
"85" 85 4417470.80873998 5334712.79199658
"86" 86 4417427.77126861 5334717.71115023
"87" 87 4417388.37581185 5334723.50590919
"88" 88 4417357.19106 5334709.34828
"89" 89 4417342.09376 5334661.05547
"90" 90 4417367.2652967 5334686.62295471
"91" 91 4417408.97906734 5334685.25186657
"92" 92 4417448.48458749 5334679.77579032
"93" 93 4417489.725698 5334676.03812194
"94" 94 4417532.7335299 5334674.4221217
"95" 95 4417573.36412003 5334672.73952168
"96" 96 4417612.11920061 5334669.28553215
"97" 97 4417651.16909749 5334668.79208691
"98" 98 4417691.48637271 5334667.34483741
"99" 99 4417733.40290075 5334666.6446973
"100" 100 4417776.66318771 5334669.13271558
"101" 101 4417788.05249 5334651.60784
"102" 102 4417781.05477 5334611.93231
"103" 103 4417764.28125631 5334632.29853235
"104" 104 4417722.45823235 5334629.55465579
"105" 105 4417684.26765018 5334632.51900685
"106" 106 4417641.57990951 5334633.23707011
"107" 107 4417600.88751834 5334633.96091857
"108" 108 4417563.18029865 5334637.77525986
"109" 109 4417517.10724838 5334635.87035389
"110" 110 4417477.33448474 5334636.42104064
"111" 111 4417434.94966494 5334643.04964894
"112" 112 4417397.77667828 5334646.01693782
"113" 113 4417361.19901062 5334647.36485953
"114" 114 4417340.68793 5334629.84128
"115" 115 4417320.48177 5334590.89394
"116" 116 4417349.7951634 5334605.99836441
"117" 117 4417385.4523326 5334603.39238339
"118" 118 4417422.24142954 5334608.80253493
"119" 119 4417462.69472767 5334606.07105265
"120" 120 4417512.15855983 5334599.19226187
"121" 121 4417550.40403125 5334602.44175486
"122" 122 4417594.31401663 5334596.35548012
"123" 123 4417635.73812409 5334596.56493714
"124" 124 4417674.13237366 5334597.10707078
"125" 125 4417715.62091921 5334596.97244465
"126" 126 4417752.66440359 5334591.53502535
"127" 127 4417773.53910333 5334573.7052
"128" 128 4417780.26228 5334546.23901
"129" 129 4417756.57245667 5334549.70904
"130" 130 4417729.68319431 5334558.58157075
"131" 131 4417692.90280659 5334562.85176329
