"Parcel" "box1" "box2" "Subparcel"
"1" 1 277 NA "1_1"
"2" 2 276 277 "2_1"
"3" 3 276 277 "3_1"
"4" 4 275 276 "4_1"
"5" 5 274 275 "5_1"
"51" 5 275 276 "5_2"
"52" 5 276 274 "5_3"
"6" 6 274 276 "6_1"
"7" 7 275 266 "7_1"
"8" 8 266 267 "8_1"
"81" 8 267 274 "8_2"
"82" 8 274 275 "8_3"
"83" 8 275 266 "8_4"
"9" 9 267 268 "9_1"
"91" 9 268 274 "9_2"
"92" 9 274 267 "9_3"
"10" 10 274 268 "10_1"
"11" 11 268 269 "11_1"
"12" 12 266 265 "12_1"
"13" 13 266 267 "13_1"
"131" 13 267 264 "13_2"
"132" 13 264 265 "13_3"
"133" 13 265 266 "13_4"
"14" 14 264 263 "14_1"
"141" 14 263 268 "14_2"
"142" 14 268 267 "14_3"
"143" 14 267 264 "14_4"
"15" 15 263 262 "15_1"
"151" 15 262 269 "15_2"
"152" 15 269 268 "15_3"
"153" 15 268 263 "15_4"
"16" 16 262 261 "16_1"
"161" 16 261 269 "16_2"
"162" 16 269 262 "16_3"
"17" 17 269 261 "17_1"
"18" 18 261 260 "18_1"
"19" 19 260 259 "19_1"
"20" 20 259 270 "20_1"
"21" 21 259 258 "21_1"
"211" 21 258 270 "21_2"
"212" 21 270 259 "21_3"
"22" 22 258 257 "22_1"
"221" 22 257 271 "22_2"
"222" 22 271 270 "22_3"
"223" 22 270 258 "22_4"
"23" 23 270 271 "23_1"
"24" 24 271 273 "24_1"
"25" 25 273 NA "25_1"
"26" 26 271 257 "26_1"
"261" 26 257 272 "26_2"
"262" 26 272 273 "26_3"
"263" 26 273 271 "26_4"
"27" 27 272 273 "27_1"
"28" 28 257 256 "28_1"
"281" 28 256 272 "28_2"
"282" 28 272 257 "28_3"
"29" 29 256 272 "29_1"
"30" 30 255 256 "30_1"
"31" 31 254 255 "31_1"
"311" 31 255 256 "31_2"
"312" 31 256 257 "31_3"
"313" 31 257 254 "31_4"
"32" 32 253 254 "32_1"
"321" 32 254 257 "32_2"
"322" 32 257 258 "32_3"
"323" 32 258 253 "32_4"
"33" 33 252 253 "33_1"
"331" 33 253 258 "33_2"
"332" 33 258 259 "33_3"
"333" 33 259 252 "33_4"
"34" 34 251 252 "34_1"
"341" 34 252 259 "34_2"
"342" 34 259 260 "34_3"
"343" 34 260 251 "34_4"
"35" 35 250 251 "35_1"
"351" 35 251 260 "35_2"
"352" 35 260 261 "35_3"
"353" 35 261 250 "35_4"
"36" 36 249 250 "36_1"
"361" 36 250 261 "36_2"
"362" 36 261 262 "36_3"
"363" 36 262 249 "36_4"
"37" 37 248 249 "37_1"
"371" 37 249 262 "37_2"
"372" 37 262 263 "37_3"
"373" 37 263 248 "37_4"
"38" 38 247 248 "38_1"
"381" 38 248 263 "38_2"
"382" 38 263 264 "38_3"
"383" 38 264 247 "38_4"
"39" 39 246 247 "39_1"
"391" 39 247 264 "39_2"
"392" 39 264 265 "39_3"
"393" 39 265 246 "39_4"
"40" 40 246 265 "40_1"
"41" 41 245 246 "41_1"
"42" 42 245 244 "42_1"
"421" 42 244 247 "42_2"
"422" 42 247 246 "42_3"
"423" 42 246 245 "42_4"
"43" 43 244 243 "43_1"
"431" 43 243 248 "43_2"
"432" 43 248 247 "43_3"
"433" 43 247 244 "43_4"
"44" 44 243 242 "44_1"
"441" 44 242 249 "44_2"
"442" 44 249 248 "44_3"
"443" 44 248 243 "44_4"
"45" 45 242 241 "45_1"
"451" 45 241 250 "45_2"
"452" 45 250 249 "45_3"
"453" 45 249 242 "45_4"
"46" 46 241 240 "46_1"
"461" 46 240 251 "46_2"
"462" 46 251 250 "46_3"
"463" 46 250 241 "46_4"
"47" 47 240 239 "47_1"
"471" 47 239 252 "47_2"
"472" 47 252 251 "47_3"
"473" 47 251 240 "47_4"
"48" 48 239 238 "48_1"
"481" 48 238 253 "48_2"
"482" 48 253 252 "48_3"
"483" 48 252 239 "48_4"
"49" 49 238 237 "49_1"
"491" 49 237 254 "49_2"
"492" 49 254 253 "49_3"
"493" 49 253 238 "49_4"
"50" 50 237 236 "50_1"
"501" 50 236 255 "50_2"
"502" 50 255 254 "50_3"
"503" 50 254 237 "50_4"
"511" 51 236 255 "51_1"
"521" 52 235 236 "52_1"
"53" 53 234 235 "53_1"
"531" 53 235 236 "53_2"
"532" 53 236 234 "53_3"
"54" 54 233 234 "54_1"
"541" 54 234 236 "54_2"
"542" 54 236 237 "54_3"
"543" 54 237 233 "54_4"
"55" 55 232 233 "55_1"
"551" 55 233 237 "55_2"
"552" 55 237 238 "55_3"
"553" 55 238 232 "55_4"
"56" 56 231 232 "56_1"
"561" 56 232 238 "56_2"
"562" 56 238 239 "56_3"
"563" 56 239 231 "56_4"
"57" 57 230 231 "57_1"
"571" 57 231 239 "57_2"
"572" 57 239 240 "57_3"
"573" 57 240 230 "57_4"
"58" 58 229 230 "58_1"
