"","ID","age"
"1","B1P5970",2
"2","B1P5971",2
"3","B1P5972",2
"4","B1P5973",2
"5","B1P5974",2
"6","B1P5975",2
"7","B1P5976",2
"8","B1P5977",2
"9","B1P5978",2
"10","B1P5979",2
"11","B1P5980",2
"12","B1P5981",2
"13","B1P5982",2
"14","B1P5983",2
"15","B1P5984",2
"16","B1P5985",2
"17","B1P5986",2
"18","B1P5987",2
"19","B1P5988",2
"20","B1P5989",2
"21","B1P5990",2
"22","B1P5991",2
"23","B1P5992",2
"24","B1P5993",2
"25","B1V5051",2
"26","B1V5052",2
"27","B1V5069",2
"28","B1V5072",2
"29","B1V5078",2
"30","B1V5080",2
"31","B1V5098",2
"32","B1V5369",2
"33","B1V5370",2
"34","B1V5371",2
"35","B1V5372",2
"36","B1V5374",2
"37","B1V5375",2
"38","B1V5376",2
"39","B1V5377",2
"40","B1V5378",2
"41","B1V5379",2
"42","B1V5380",2
"43","B1V5381",2
"44","B1V5382",2
"45","B1V5383",2
"46","B1V5384",2
"47","B1V5385",2
"48","B1V5386",2
"49","B1V5387",2
"50","B1V5388",2
"51","B1V5389",2
"52","B1V5390",2
"53","B1V5391",2
"54","B1V5392",2
"55","B1V5393",2
"56","B1V5394",2
"57","B1V5395",2
"58","B1V5396",2
"59","B1V5397",2
"60","B1V5398",2
"61","B1V5399",2
"62","B1V5400",2
"63","B1V5464",2
"64","B1V5465",2
"65","B1V5466",2
"66","B1V5467",2
"67","B1V5468",2
"68","B1V5469",2
"69","B1V5470",2
"70","B1V5471",2
"71","B1V5472",2
"72","B1V5473",2
"73","B1V5474",2
"74","B1V5475",2
"75","B1V5476",2
"76","B1V5477",2
"77","B1V5478",2
"78","B1V5479",2
"79","B1V5480",NA
"80","B1V5481",2
"81","B1V5482",2
"82","B1V5483",2
"83","B1V5484",2
"84","B1V5485",2
"85","B1V5486",2
"86","B1V5487",2
"87","B1V5488",2
"88","B1V5489",2
"89","B1V5490",2
"90","B1V5491",2
"91","B1V5492",2
"92","B1V5493",2
"93","B1V5494",2
"94","B1V5495",2
"95","B1V5496",2
"96","B1V5497",2
"97","B1V5498",2
"98","B1V5499",2
"99","B1V5500",2
"100","B1V5533",2
"101","B1V5534",2
"102","B1V5535",2
"103","B1V5536",2
"104","B1V5537",2
"105","B1V5538",2
"106","B1V5539",2
"107","B1V5540",2
"108","B1V5541",2
"109","B1V5542",2
"110","B1V5543",2
"111","B1V5544",2
"112","B1V5545",2
"113","B1V5546",2
"114","B1V5547",2
"115","B1V5548",2
"116","B1V5549",2
"117","B1V5550",2
"118","B1V5551",2
"119","B1V5552",2
"120","B1V5553",2
"121","B1V5554",2
"122","B1V5555",2
"123","B1V5556",2
"124","B1V5557",2
"125","B1V5558",2
"126","B1V5559",2
"127","B1V5560",2
"128","B1V5561",2
"129","B1V5562",2
"130","B1V5563",2
"131","B1V5564",2
"132","B1V5565",2
"133","B1V5566",2
"134","B1V5567",2
"135","B1V5568",2
"136","B1V5569",2
"137","B1V5570",2
"138","B1V5571",2
"139","B1V5572",2
"140","B1V5573",2
"141","B1V5574",2
"142","B1V5575",2
"143","B1V5576",2
"144","B1V5577",2
"145","B1V5578",2
"146","B1V5579",2
"147","B1V5580",2
"148","B1V5581",2
"149","B1V5582",2
"150","B1V5583",2
"151","B1V5584",2
"152","B1V5585",2
"153","B1V5586",2
"154","B1V5587",2
"155","B1V5588",2
"156","B1V5589",2
"157","B1V5590",2
"158","B1V5591",2
"159","B1V5592",2
"160","B1V5593",2
"161","B1V5594",2
"162","B1V5595",2
"163","B1V5596",2
"164","B1V5597",2
"165","B1V5598",2
"166","B1V5599",2
"167","B1V5600",2
"168","B2A7682",2
"169","B2A7698",2
"170","B2F5301",2
"171","B2F5302",2
"172","B2F5303",2
"173","B2F5304",2
"174","B2F5305",2
"175","B2F5306",2
"176","B2F5307",2
"177","B2F5308",2
"178","B2F5309",2
"179","B2F5310",2
"180","B2F5311",2
"181","B2F5312",2
"182","B2F5313",2
"183","B2F5314",2
"184","B2F5315",2
"185","B2F5316",2
"186","B2F5317",2
"187","B2F5318",2
"188","B2F5319",2
"189","B2F5320",2
"190","B2F5321",2
"191","B2F5322",2
"192","B2F5323",2
"193","B2F5324",2
"194","B2F5325",2
"195","B2F5327",2
"196","B2F5328",2
"197","B2F5329",2
"198","B2F5330",2
"199","B2F5331",2
"200","B2F5332",2
"201","B2F5333",2
"202","B2F5334",2
"203","B2F5335",2
"204","B2F5336",2
"205","B2F5337",2
"206","B2F5338",2
"207","B2F5339",2
"208","B2F5340",2
"209","B2F5341",2
"210","B2F5342",2
"211","B2F5343",2
"212","B2F5344",2
"213","B2F5345",2
"214","B2F5346",2
"215","B2F5347",2
"216","B2F5348",2
"217","B2F5349",2
"218","B2F5350",2
"219","B2F5351",2
"220","B2F5352",2
"221","B2F5353",2
"222","B2F5354",2
"223","B2F5355",2
"224","B2F5356",2
"225","B2F5357",2
"226","B2F5358",2
"227","B2F5359",2
"228","B2F5360",2
"229","B2F5361",2
"230","B2F5362",2
"231","B2F5363",2
"232","B2F5364",2
"233","B2F5365",2
"234","B2F5366",2
"235","B2F5367",2
"236","B2F5368",2
"237","B2F5369",2
"238","B2F5370",2
"239","B2F5371",2
"240","B2F5372",2
"241","B2F5373",2
"242","B2F5374",2
"243","B2F5375",2
"244","B2F5376",2
"245","B2F5377",2
"246","B2F5378",2
"247","B2F5379",2
"248","B2F5380",2
"249","B2F5381",2
"250","B2F5382",2
"251","B2F5383",2
"252","B2F5384",2
"253","B2F5385",2
"254","B2F5386",2
"255","B2F5387",2
"256","B2F5388",2
"257","B2F5389",2
"258","B2F5390",2
"259","B2F5391",2
"260","B2F5393",2
"261","B2F5394",2
"262","B2F5395",2
"263","B2F5396",2
"264","B2F5397",2
"265","B2F5398",2
"266","B2F5399",2
"267","B2F5400",2
"268","B2F5401",2
"269","B2F5402",2
"270","B2F5403",2
