"","transponder","yday","box","date_","time_","april_day","sunrise","em_time","ID"
"1","0190000000008001",91,150,"2021-04-01",4.63888888888889,1,4.93083333333333,-17.5166666666664,"B4X8017"
"2","0190000000008001",92,150,"2021-04-02",4.62805555555556,2,4.89666666666667,-16.1166666666668,"B4X8017"
"3","0190000000008001",93,150,"2021-04-03",4.83361111111111,3,4.86277777777778,-1.75000000000017,"B4X8017"
"4","0190000000008001",94,150,"2021-04-04",4.66472222222222,4,4.82861111111111,-9.83333333333327,"B4X8017"
"5","0190000000008001",95,150,"2021-04-05",4.75,5,4.79472222222222,-2.68333333333322,"B4X8017"
"6","0190000000008001",96,150,"2021-04-06",4.67527777777778,6,4.76111111111111,-5.14999999999995,"B4X8017"
"7","0190000000008001",97,150,"2021-04-07",4.72361111111111,7,4.7275,-0.233333333333317,"B4X8017"
"8","0190000000008001",98,150,"2021-04-08",4.65222222222222,8,4.69388888888889,-2.50000000000007,"B4X8017"
"9","0190000000008001",99,150,"2021-04-09",4.48555555555556,9,4.66055555555556,-10.5000000000003,"B4X8017"
"10","0190000000008001",100,150,"2021-04-10",4.37,10,4.6275,-15.45,"B4X8017"
"11","0190000000008001",101,150,"2021-04-11",4.49222222222222,11,4.59444444444444,-6.13333333333307,"B4X8017"
"12","0190000000008001",102,150,"2021-04-12",4.56138888888889,12,4.56166666666667,-0.0166666666668824,"B4X8017"
"13","0190000000008001",103,150,"2021-04-13",4.46666666666667,13,4.52916666666667,-3.75000000000021,"B4X8017"
"14","0190000000008001",104,150,"2021-04-14",4.465,14,4.49666666666667,-1.90000000000019,"B4X8017"
"15","0190000000008001",105,150,"2021-04-15",4.23305555555556,15,4.46444444444444,-13.8833333333331,"B4X8017"
"16","0190000000008001",106,150,"2021-04-16",4.21083333333333,16,4.4325,-13.3,"B4X8017"
"17","0190000000008001",107,150,"2021-04-17",4.28638888888889,17,4.40083333333333,-6.86666666666646,"B4X8017"
"18","0190000000008001",108,150,"2021-04-18",4.31722222222222,18,4.36916666666667,-3.11666666666689,"B4X8017"
"19","01D0000000008001",93,227,"2021-04-03",4.79972222222222,3,4.86277777777778,-3.7833333333335,"B4X1879"
"20","01D0000000008001",94,227,"2021-04-04",4.65916666666667,4,4.82861111111111,-10.1666666666666,"B4X1879"
"21","01D0000000008001",95,227,"2021-04-05",4.35972222222222,5,4.79472222222222,-26.0999999999999,"B4X1879"
"22","01D0000000008001",96,227,"2021-04-06",4.64027777777778,6,4.76111111111111,-7.24999999999996,"B4X1879"
"23","01D0000000008001",97,227,"2021-04-07",4.62555555555556,7,4.7275,-6.11666666666666,"B4X1879"
"24","01D0000000008001",98,227,"2021-04-08",4.65916666666667,8,4.69388888888889,-2.08333333333339,"B4X1879"
"25","01D0000000008001",99,227,"2021-04-09",4.65472222222222,9,4.66055555555556,-0.350000000000268,"B4X1879"
