april_day,eggs,day1,day1to3,day1to5
1,0,0,0,2
2,0,0,0,3
3,0,0,2,3
4,0,0,3,3
5,0,2,3,3
6,2,1,1,1
7,1,0,0,2
8,0,0,0,4
9,0,0,2,7
10,0,0,4,20
11,0,2,7,32
12,2,2,18,37
13,2,3,28,35
14,3,13,32,35
15,13,12,19,25
16,12,7,10,19
17,7,0,6,26
18,0,3,12,40
19,3,3,23,57
20,3,6,34,59
21,6,14,48,61
22,14,14,39,56
23,14,20,33,44
24,20,5,22,29
25,5,8,19,26
26,8,9,16,19
27,9,2,9,10
28,2,5,8,9
29,5,2,3,4
30,2,1,2,2
31,1,0,1,1
32,0,1,1,1
33,1,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
