"year_","box1","box2","no"
2021,1,4,1
2021,1,34,1
2021,1,35,1
2021,1,36,1
2021,4,1,1
2021,4,6,1
2021,4,32,1
2021,4,34,1
2021,4,38,1
2021,6,4,1
2021,6,7,1
2021,6,30,1
2021,6,31,1
2021,6,32,1
2021,7,6,1
2021,7,28,1
2021,7,30,1
2021,10,11,1
2021,10,12,1
2021,10,28,1
2021,10,44,1
2021,11,10,1
2021,12,10,1
2021,11,24,1
2021,12,24,1
2021,11,44,1
2021,12,44,1
2021,11,46,1
2021,12,46,1
2021,14,21,1
2021,14,49,1
2021,14,24,1
2021,14,48,1
2021,17,18,1
2021,17,21,1
2021,17,49,1
2021,17,52,1
2021,18,17,1
2021,18,52,1
2021,21,14,1
2021,49,14,1
2021,21,17,1
2021,49,17,1
2021,21,48,1
2021,49,48,1
2021,21,52,1
2021,49,52,1
2021,21,80,1
2021,49,80,1
2021,21,81,1
2021,49,81,1
2021,24,11,1
2021,24,12,1
2021,24,14,1
2021,24,46,1
2021,24,48,1
2021,28,7,1
2021,28,10,1
2021,28,30,1
2021,28,41,1
2021,28,61,1
2021,28,43,1
2021,28,44,1
2021,30,6,1
2021,30,7,1
2021,30,28,1
2021,30,31,1
2021,30,41,1
2021,30,61,1
2021,30,63,1
2021,31,6,1
2021,31,30,1
2021,31,32,1
2021,31,38,1
2021,31,63,1
2021,32,4,1
2021,32,6,1
2021,32,31,1
2021,32,38,1
2021,34,1,1
2021,34,4,1
2021,34,35,1
2021,34,36,1
2021,34,38,1
2021,34,68,1
2021,35,1,1
2021,36,1,1
2021,35,34,1
2021,36,34,1
2021,35,68,1
2021,36,68,1
2021,38,4,1
2021,38,31,1
2021,38,32,1
2021,38,34,1
2021,38,63,1
2021,38,64,1
2021,38,68,1
2021,41,28,1
2021,61,28,1
2021,41,30,1
2021,61,30,1
2021,41,43,1
2021,61,43,1
2021,41,63,1
2021,61,63,1
2021,41,71,1
2021,61,71,1
2021,41,73,1
2021,61,73,1
2021,43,28,1
2021,43,41,1
2021,43,61,1
2021,43,44,1
2021,43,73,1
2021,43,74,1
2021,43,75,1
2021,44,10,1
2021,44,11,1
2021,44,12,1
2021,44,28,1
2021,44,43,1
2021,44,46,1
2021,44,74,1
2021,44,75,1
2021,44,76,1
2021,46,11,1
2021,46,12,1
2021,46,24,1
