"year_","no","box1","box2"
2021,0,1,1
2021,0,1,2
2021,0,2,1
2021,0,2,2
2021,1,3,1
2021,1,3,2
2021,1,4,1
2021,1,4,2
2021,2,5,1
2021,2,5,2
2021,2,6,1
2021,2,6,2
2021,3,7,1
2021,3,7,2
2021,3,8,1
2021,3,8,2
2021,5,9,1
2021,5,9,2
2021,5,10,1
2021,5,10,2
2021,6,11,1
2021,6,11,2
2021,6,25,1
2021,6,25,2
2021,6,12,1
2021,6,12,2
2021,6,13,1
2021,6,13,2
2021,8,14,1
2021,8,14,2
2021,8,15,1
2021,8,15,2
2021,9,16,1
2021,9,16,2
2021,9,17,1
2021,9,17,2
2021,10,18,1
2021,10,18,2
2021,10,19,1
2021,10,19,2
2021,8,20,1
2021,8,20,2
2021,8,21,1
2021,8,21,2
2021,7,23,1
2021,7,23,2
2021,7,24,1
2021,7,24,2
2021,4,27,1
2021,4,27,2
2021,4,28,1
2021,4,28,2
2021,3,29,1
2021,3,29,2
2021,3,30,1
2021,3,30,2
2021,3,31,1
2021,3,31,2
2021,3,114,1
2021,3,114,2
2021,2,32,1
2021,2,32,2
2021,2,33,1
2021,2,33,2
2021,1,34,1
2021,1,34,2
2021,1,37,1
2021,1,37,2
2021,1,35,1
2021,1,35,2
2021,1,58,1
2021,1,58,2
2021,1,36,1
2021,1,36,2
2021,1,66,1
2021,1,66,2
2021,2,38,1
2021,2,38,2
2021,2,39,1
2021,2,39,2
2021,4,41,1
2021,4,41,2
2021,4,42,1
2021,4,42,2
2021,5,43,1
2021,5,43,2
2021,5,45,1
2021,5,45,2
2021,5,26,1
2021,5,26,2
2021,5,44,1
2021,5,44,2
2021,6,46,1
2021,6,46,2
2021,6,57,1
2021,6,57,2
2021,7,48,1
2021,7,48,2
2021,7,54,1
2021,7,54,2
2021,8,49,1
2021,8,49,2
2021,8,50,1
2021,8,50,2
2021,9,52,1
2021,9,52,2
2021,9,82,1
2021,9,82,2
2021,7,55,1
2021,7,55,2
2021,7,56,1
2021,7,56,2
2021,4,61,1
2021,4,61,2
2021,4,62,1
2021,4,62,2
2021,3,40,1
2021,3,40,2
2021,3,63,1
2021,3,63,2
2021,3,64,1
2021,3,64,2
2021,3,65,1
2021,3,65,2
2021,2,67,1
2021,2,67,2
2021,2,68,1
2021,2,68,2
2021,4,69,1
2021,4,69,2
2021,4,70,1
2021,4,70,2
2021,4,71,1
2021,4,71,2
2021,4,72,1
2021,4,72,2
2021,5,60,1
2021,5,60,2
2021,5,73,1
2021,5,73,2
2021,6,59,1
2021,6,59,2
2021,6,74,1
2021,6,74,2
2021,6,75,1
2021,6,75,2
2021,6,89,1
2021,6,89,2
2021,6,76,1
2021,6,76,2
2021,6,88,1
2021,6,88,2
2021,7,77,1
2021,7,77,2
2021,7,87,1
2021,7,87,2
2021,7,78,1
