"","ID","females","young","epp"
"1","B4P9391",1,3,1
"2","B5A9927",1,2,1
"3","B5A9527",1,1,1
"4","B5A9953",1,2,1
"5","B4X1839",2,5,1
"6","B4X1858",1,2,1
"7","B4P9497",1,4,1
"8","B4X1501",1,1,1
"9","B4X1695",3,6,1
"10","B5A9900",1,2,1
"11","B4P8048",1,3,1
"12","B4X8996",1,1,1
"13","B5A9416",1,1,1
"14","B4X8530",1,3,1
"15","B4H1828",1,3,1
"16","B4P8576",2,5,1
"17","B4X1473",1,1,1
"18","B5A9287",1,2,1
"19","B5A9512",1,2,1
"20","B4X1004",1,1,1
"21","B4H1064",1,1,1
"22","B4X8915",1,2,1
"23","B4X1001",2,9,1
"24","B4X1530",1,1,1
"25","B4P8414",1,4,1
"26","B4X8372",1,1,1
"27","B4X8890",1,1,1
"28","B4P9951",1,2,1
"29","B4X1800",1,1,1
"30","B4X8349",1,1,1
"31","B5A9270",1,3,1
"32","B4P9307",1,1,1
"33","B4X1624",1,1,1
"34","B4P9695",1,2,1
"35","B4P9643",1,4,1
"36","B4X1443",2,5,1
"37","B4X1039",1,1,1
"38","B4X1358",2,2,1
"39","B4X1608",1,1,1
"40","B5A9786",1,1,1
"41","B5A9404",1,3,1
"42","B4P9926",2,3,1
"43","B4X1463",1,2,1
"44","B4X1892",3,6,1
"45","B4X1151",2,3,1
"46","B5A9146",1,2,1
"47","B4X8946",1,1,1
"48","B4X8586",1,1,1
"49","B4X1340",1,4,1
"50","B4P9239",1,1,1
"51","B5A9389",3,4,1
"52","B5A9100",2,4,1
"53","B4X1408",1,2,1
"54","B5A9471",1,3,1
"55","B4X9000",1,1,1
