year_,status,box,ID,sex,mother,father,epy,MismatchFem,MismatchMale,Comments,
2021,offspring,1,b5g9501,f,B5A9523,B5A9962,0,,,,
2021,offspring,1,b5g9502,f,B5A9523,B5A9962,0,,,,
2021,offspring,1,b5g9503,m,B5A9523,B5A9962,0,,,,
2021,offspring,1,b5g9504,f,B5A9523,B4P9391,1,,,Extra-pair father is male box 35,
2021,offspring,1,b5g9505,f,B5A9523,B5A9962,0,,,,
2021,offspring,1,b5g9506,f,B5A9523,B5A9962,0,,,,
2021,offspring,1,b5g9507,f,B5A9523,B4P9391,1,,,Extra-pair father is male box 35,
2021,offspring,1,b5g9508,f,B5A9523,B4P9391,1,,,Extra-pair father is male box 35,
2021,offspring,3,b5g9065,f,B5A9106,B4P9127,0,,,,
2021,offspring,3,b5g9066,m,B5A9106,b5a9927,1,,,Extra-pair father is male from winter catch (box 65),
2021,offspring,3,b5g9067,m,B5A9106,B4P9127,0,,,,
2021,offspring,3,b5g9068,m,B5A9106,B4P9127,0,,,,
2021,offspring,3,b5g9069,m,B5A9106,b5a9927,1,,,Extra-pair father is male from winter catch (box 65),
2021,offspring,3,b5g9070,m,B5A9106,B4P9127,0,,,,
2021,offspring,3,b5g9071,f,B5A9106,B4P9127,0,,,,
2021,offspring,3,b5g9072,m,B5A9106,B4P9127,0,,,,
2021,offspring,6,b5g9577,m,B5G9299,B5A9459,0,,,,
2021,offspring,6,b5g9578,f,B5G9299,B5A9459,0,,,,
2021,offspring,6,b5g9579,m,B5G9299,B5A9459,0,,,,
2021,offspring,6,b5g9580,f,B5G9299,B5A9459,0,,,,
2021,offspring,6,b5g9581,m,B5G9299,B5A9459,0,,,,
2021,offspring,8,b5g9037,f,B4X8117,B4X8849,0,,,,
2021,offspring,8,b5g9038,f,B4X8117,B4X8849,0,,,,
2021,offspring,8,b5g9039,m,B4X8117,B4X8849,0,,1,,
2021,offspring,8,b5g9040,m,B4X8117,B4X8849,0,,,,
2021,offspring,8,b5g9041,f,B4X8117,B4X8849,0,,,,
2021,offspring,8,b5g9042,f,B4X8117,B4X8849,0,,,,
2021,offspring,8,b5g9043,m,B4X8117,B4X8849,0,,,,
2021,offspring,8,b5g9044,m,B4X8117,B4X8849,0,,,,
2021,offspring,8,x01000821,m,B4X8117,B4X8849,0,,,,
2021,offspring,9,b5g9045,f,B5A9478,B5A9831,0,,,,
2021,offspring,9,b5g9046,m,B5A9478,B5A9831,0,,,,
2021,offspring,9,b5g9047,f,B5A9478,B5A9527,1,,,Extra-pair father is male box 25,
2021,offspring,9,b5g9048,m,B5A9478,B5A9831,0,,,,
2021,offspring,9,b5g9049,m,B5A9478,B5A9831,0,,,,
2021,offspring,9,b5g9050,f,B5A9478,B5A9831,0,,,,
2021,offspring,9,b5g9051,m,B5A9478,B5A9831,0,,,,
2021,offspring,9,b5g9052,m,B5A9478,B5A9831,0,,,,
2021,offspring,9,b5g9053,m,B5A9478,B5A9831,0,,,,
2021,offspring,10,b5g9601,m,B5A9306,B4X8611,0,,,,
2021,offspring,10,b5g9602,m,B5A9306,B4X8611,0,,,,
2021,offspring,10,b5g9603,m,B5A9306,B4X8611,0,,,,
2021,offspring,10,b5g9604,m,B5A9306,B4X8611,0,,,,
2021,offspring,10,b5g9605,f,B5A9306,B4X8611,0,,,,
2021,offspring,10,b5g9606,m,B5A9306,B4X8611,0,,,,
2021,offspring,10,x01001021,m,B5A9306,B4X8611,0,,,,
2021,offspring,14,b5a9541,f,B5A9361,B5A9255,0,,,,
2021,offspring,14,b5a9542,m,B5A9361,,1,,,Extra-pair father unknown,
2021,offspring,14,b5a9543,m,B5A9361,B5A9255,0,,,,
2021,offspring,14,b5a9544,f,B5A9361,B5A9255,0,,,,
2021,offspring,14,b5a9545,m,B5A9361,B5A9255,0,,,,
2021,offspring,14,b5a9546,f,B5A9361,,1,,,Extra-pair father unknown,
2021,offspring,14,b5a9547,f,B5A9361,B5A9255,0,,,,
2021,offspring,15,x01001521,f,B4X8914,B5A9807,0,,,,
2021,offspring,15,x02001521,m,B4X8914,B5A9807,0,,,,
2021,offspring,15,x03001521,f,B4X8914,B5A9807,0,,,,
2021,offspring,15,x04001521,f,B4X8914,B5A9807,0,,,,
2021,offspring,15,x05001521,f,B4X8914,B5A9807,0,,,,
2021,offspring,15,x06001521,m,B4X8914,B5A9807,0,,,,
2021,offspring,15,x07001521,f,B4X8914,B5A9807,0,,,,
2021,offspring,15,x08001521,m,B4X8914,B5A9807,0,,,,
2021,offspring,16,b5g9260,f,B4X8843,B5A9219,0,,,,
2021,offspring,16,b5g9261,f,B4X8843,B5A9953,1,,,Extra-pair father is male box 20,
2021,offspring,16,b5g9262,f,B4X8843,B5A9219,0,,,,
2021,offspring,16,b5g9263,m,B4X8843,B5A9219,0,,,,
2021,offspring,16,b5g9264,m,B4X8843,B5A9219,0,,,,
2021,offspring,16,b5g9265,m,B4X8843,B5A9953,1,,,Extra-pair father is male box 20,
2021,offspring,16,b5g9266,m,B4X8843,B5A9219,0,,,,
2021,offspring,16,b5g9267,f,B4X8843,B5A9219,0,,,,
2021,offspring,16,b5g9268,m,B4X8843,B5A9219,0,,,,
2021,offspring,18,b5g9231,m,B4X8958,B5A9539,0,,,,
2021,offspring,18,b5g9232,m,B4X8958,B4X1839,1,,,Extra-pair father is male box 48,
2021,offspring,18,b5g9233,f,B4X8958,B5A9539,0,1,,,
2021,offspring,18,b5g9234,f,B4X8958,B4X1839,1,,,Extra-pair father is male box 48,
2021,offspring,18,b5g9235,m,B4X8958,B5A9539,0,,,,
2021,offspring,18,b5g9236,f,B4X8958,B4X1839,1,,,Extra-pair father is male box 48,
2021,offspring,18,b5g9237,f,B4X8958,B5A9539,0,,,,
2021,offspring,18,x01001821,m,B4X8958,,1,,,Extra-pair father unknown,
2021,offspring,20,b5g9133,m,B5A9526,B5A9953,0,,,,
2021,offspring,20,b5g9134,f,B5A9526,B5A9953,0,,,,
2021,offspring,20,b5g9135,m,B5A9526,B5A9953,0,,,,
2021,offspring,20,b5g9136,m,B5A9526,B5A9953,0,,,,
2021,offspring,20,b5g9137,f,B5A9526,B5A9953,0,,,,
2021,offspring,20,b5g9138,m,B5A9526,B5A9953,0,,,,
2021,offspring,24,x01002421,f,B5A9361,B5A9255,0,,,,
2021,offspring,24,x02002421,f,B5A9361,B4X1839,1,,,Extra-pair father is male box 48,
2021,offspring,24,x03002421,f,B5A9361,B5A9255,0,,,,
2021,offspring,24,x04002421,m,B5A9361,B5A9255,0,,,,
2021,offspring,24,x05002421,m,B5A9361,B5A9255,0,,1,,
2021,offspring,24,x06002421,m,B5A9361,B5A9255,0,,,,
2021,offspring,24,x07002421,f,B5A9361,B5A9255,0,,,,
2021,offspring,24,x08002421,f,B5A9361,B5A9255,0,,,,
2021,offspring,24,x09002421,m,B5A9361,B5A9255,0,1,,,
2021,offspring,24,x10002421,f,B5A9361,B4X1839,1,,,Extra-pair father is male box 48,
2021,offspring,24,x11002421,f,B5A9361,B5A9255,0,,,,
2021,offspring,25,b5g9109,m,B4P9969,B5A9527,0,,,,
2021,offspring,25,b5g9110,m,B4P9969,B5A9527,0,,,,
2021,offspring,25,b5g9111,m,B4P9969,B5A9527,0,,,,
2021,offspring,25,b5g9112,m,B4P9969,B5A9527,0,,,,
2021,offspring,25,b5g9113,f,B4P9969,B5A9527,0,,,,
2021,offspring,25,b5g9114,m,B4P9969,B5A9527,0,,,,
2021,offspring,25,x01002521,m,B4P9969,B5A9527,0,,,,
2021,offspring,28,b5g9225,f,B4X1821,B4X8855,0,,,,
2021,offspring,28,b5g9226,f,B4X1821,B4X8855,0,,,,
2021,offspring,28,b5g9227,m,B4X1821,B4X8855,0,,,,
2021,offspring,28,b5g9228,f,B4X1821,B4X8855,0,,,,
2021,offspring,28,b5g9229,m,B4X1821,B4X8855,0,,,,
2021,offspring,28,b5g9230,m,B4X1821,B4X8855,0,,,,
2021,offspring,30,b5g9481,f,B4X8926,B4X8835,0,,,,
2021,offspring,30,b5g9482,f,B4X8926,B4X1858,1,,,Extra-pair father is male box 42,
2021,offspring,30,b5g9483,f,B4X8926,B4X8835,0,,,,
2021,offspring,30,b5g9484,f,B4X8926,B4X8835,0,,,,
2021,offspring,30,b5g9485,f,B4X8926,B4X1858,1,,,Extra-pair father is male box 42,
2021,offspring,30,b5g9486,f,B4X8926,B4X8835,0,1,,,
2021,offspring,30,b5g9487,f,B4X8926,B4X8835,0,,,,
2021,offspring,30,x01003021,m,B4X8926,B4X8835,0,,,,
2021,offspring,32,b5g9223,m,B5A9058,B5A9149,0,,,,
2021,offspring,32,b5g9224,f,B5A9058,B5A9149,0,,,,
2021,offspring,34,x01003421,f,B4X1386,B5A9961,0,,,,
2021,offspring,34,x02003421,m,B4X1386,B5A9961,0,,,,
2021,offspring,34,x03003421,f,B4X1386,B5A9961,0,,,,
2021,offspring,34,x04003421,f,B4X1386,B5A9961,0,,,,
2021,offspring,34,x05003421,m,B4X1386,B5A9961,0,,,,
2021,offspring,34,x06003421,m,B4X1386,B5A9961,0,,,,
2021,offspring,34,x07003421,f,B4X1386,B5A9961,0,,,,
2021,offspring,34,x08003421,f,B4X1386,B5A9961,0,,,,
2021,offspring,35,b5g9527,f,B5G9396,B4P9391,0,,,,
2021,offspring,35,b5g9528,f,B5G9396,B4P9391,0,,,,
2021,offspring,35,b5g9529,m,B5G9396,B4P9391,0,,,,
2021,offspring,35,b5g9530,m,B5G9396,B4P9391,0,,,,
2021,offspring,35,b5g9531,m,B5G9396,B4P9391,0,,,,
2021,offspring,35,b5g9532,f,B5G9396,B4P9391,0,,1,,
2021,offspring,35,b5g9533,m,B5G9396,B4P9391,0,,,,
2021,offspring,35,b5g9534,m,B5G9396,B4P9391,0,,,,
2021,offspring,35,x02003521,f,B5G9396,B4P9391,0,,,,
2021,offspring,38,x01003821,f,B4X8997,B4H1675,0,,,,
2021,offspring,38,x02003821,m,B4X8997,B4H1675,0,,,,
2021,offspring,38,x03003821,m,B4X8997,B4H1675,0,,,,
2021,offspring,38,x04003821,m,B4X8997,B4H1675,0,,,,
2021,offspring,40,x01004021,m,B4P9792,B4X8996,0,,,,
2021,offspring,40,x02004021,m,B4P9792,B4X8996,0,,,,
2021,offspring,40,x03004021,f,B4P9792,B4X8996,0,,,,
2021,offspring,40,x04004021,m,B4P9792,B4X8996,0,,,,
2021,offspring,40,x05004021,m,B4P9792,B4X8996,0,,,,
2021,offspring,40,x06004021,f,B4P9792,B4X8996,0,,,,
2021,offspring,40,x07004021,f,B4P9792,B4X8996,0,,,,
2021,offspring,40,x08004021,f,B4P9792,B4X8996,0,,,,
2021,offspring,42,b5g9031,m,B4X8888,B4P9497,1,,,Extra-pair father is male box 43,
2021,offspring,42,b5g9032,f,B4X8888,B4X1858,0,,,,
2021,offspring,42,b5g9033,f,B4X8888,B4X1858,0,,,,
2021,offspring,42,b5g9034,f,B4X8888,B4X1858,0,,,,
2021,offspring,42,b5g9035,m,B4X8888,B4P9497,1,,,Extra-pair father is male box 43,
2021,offspring,42,b5g9036,m,B4X8888,B4P9497,1,,,Extra-pair father is male box 43,
2021,offspring,42,x01004221,m,B4X8839,B4X1858,0,,,,
2021,offspring,42,x02004221,f,B4X8888,B4X1858,0,,,,
2021,offspring,42,x03004221,m,B4X8888,B4P9497,1,,,Extra-pair father is male box 43,
