"ID","days","score1","females1","score2","females2"
"B4H0223",7,10,5,42,7
"B4H0518",19,35,7,104,24
"B4H1064",6,14,5,39,7
"B4H1675",5,18,7,39,7
"B4H1828",2,5,5,13,4
"B4P8414",1,1,1,3,2
"B4P8576",5,9,4,22,7
"B4P8598",6,11,5,25,6
"B4P9127",1,3,3,14,6
"B4P9170",4,7,4,10,4
"B4P9213",1,2,2,5,1
"B4P9692",5,10,5,37,5
"B4X1181",4,9,5,19,4
"B4X1213",2,3,2,7,3
"B4X1240",5,11,5,27,8
"B4X1306",4,8,2,27,6
"B4X1340",3,4,3,17,6
"B4X1708",9,18,6,57,14
"B4X1858",6,10,5,34,7
"B4X1912",16,39,8,98,17
"B4X8530",11,17,6,54,13
"B4X8586",12,23,6,51,15
"B4X8835",1,1,1,4,2
"B4X8857",5,5,2,17,5
"B4X8979",15,30,6,75,18
"B5A9100",19,42,9,116,24
"B5A9289",7,11,5,23,8
"B5A9457",8,8,2,26,10
"B5A9715",3,11,4,22,3
"B5A9985",5,5,1,22,7
"B4X1585",1,0,0,0,0
