"","ID","sex"
"1","B1V5587",2
"2","B1V5572",1
"3","X01000407",2
"4","X02000407",2
"5","X03000407",2
"6","B2F5374",1
"7","B2F5375",1
"8","B2F5376",1
"9","B2F5377",2
"10","B2F5378",1
"11","B2F5379",1
"12","B2F5380",1
"13","B2F5381",2
"14","B1V5534",1
"15","B2F5419",1
"16","B2F5420",2
"17","B2F5421",2
"18","B2F5422",2
"19","B2F5423",2
"20","B2F5424",2
"21","B2F5425",2
"22","B2F5426",1
"23","B2F5427",2
"24","B2F5428",1
"25","B2F5429",1
"26","B2F5430",2
"27","B1V5398",1
"28","B1V5385",2
"29","B2V8256",2
"30","B2V8257",2
"31","B2V8258",1
"32","B2V8259",2
"33","B2V8260",2
"34","B2V8261",2
"35","B2V8262",2
"36","B2V8263",1
"37","B2V8264",1
"38","B1V5533",1
"39","B2F5301",2
"40","B2F5302",2
"41","B2F5303",2
"42","B2F5304",1
"43","B2F5305",1
"44","B2F5306",2
"45","B2F5307",2
"46","B2F5308",2
"47","B2F5309",2
"48","B2F5310",1
"49","B1V5536",1
"50","B1V5540",2
"51","X01001807",1
"52","X02001807",1
"53","B2F5401",2
"54","B2F5402",1
"55","B2F5403",2
"56","B2F5404",2
"57","B2F5405",2
"58","B2F5406",1
"59","B2F5407",2
"60","B2F5408",1
"61","B1P5986",2
"62","B1P5982",1
"63","B2F5541",2
"64","B2F5542",1
"65","B2F5543",1
"66","B2F5544",1
"67","B2F5545",2
"68","B2F5546",1
"69","B2F5547",2
"70","B2F5548",2
"71","B2F5549",1
"72","B1V5482",2
"73","B1V5384",1
"74","B2V8350",2
"75","B2V8351",2
"76","B2V8352",1
"77","B2V8353",2
"78","B2V8354",1
"79","B2V8355",2
"80","B2V8356",1
"81","B2V8357",1
"82","B2V8358",1
"83","B2V8359",2
"84","B2V8360",2
"85","B1V5382",2
"86","B1V5598",1
"87","X01003107",1
"88","X02003107",1
"89","X03003107",2
"90","X04003107",1
"91","X05003107",1
"92","X06003107",1
"93","X07003107",1
"94","X08003107",2
"95","X09003107",1
"96","X10003107",2
"97","X11003107",1
"98","B1V5567",2
"99","B1V5478",1
"100","X01003407",1
"101","B2F5382",2
"102","B2F5383",2
"103","B2F5384",1
"104","B2F5385",2
"105","B2F5386",1
"106","B2F5387",1
"107","B2F5388",2
"108","B2F5389",2
"109","B2F5390",1
"110","B2F5391",2
"111","B2F5393",1
"112","B1V5539",1
"113","B1V5593",2
"114","X01003507",1
"115","B2F5670",2
"116","B2F5671",1
"117","B2F5672",2
"118","B2F5673",2
"119","B2F5674",1
"120","B2F5675",2
"121","B2F5676",1
"122","B2F5677",2
"123","B2F5678",2
"124","B2F5679",1
"125","B1V5380",2
"126","B1V5474",1
"127","X01003607",1
"128","X02003607",1
"129","B2V8248",1
"130","B2V8249",1
"131","B2V8250",1
"132","B2V8251",2
"133","B2V8252",2
"134","B2V8253",2
"135","B2V8254",1
"136","B2V8255",1
"137","B1V5475",2
"138","B1V5379",1
"139","X01003807",2
"140","X02003807",1
"141","X03003807",1
"142","X04003807",2
"143","X05003807",1
"144","X06003807",1
"145","X07003807",1
"146","X08003807",2
"147","X09003807",2
"148","X10003807",2
"149","X11003807",1
"150","X12003807",1
"151","B1V5490",2
"152","B1V5493",1
"153","B2V8288",1
"154","B2V8289",2
"155","B2V8290",2
