"year_","box","territory"
2021,1,1
2021,4,4
2021,6,6
2021,7,7
2021,10,10
2021,11,11
2021,12,11
2021,14,14
2021,17,17
2021,18,18
2021,21,21
2021,24,24
2021,28,28
2021,30,30
2021,31,31
2021,32,32
2021,34,34
2021,35,35
2021,36,35
2021,38,38
2021,41,41
2021,43,43
2021,44,44
2021,46,46
2021,48,48
2021,49,21
2021,52,52
2021,55,55
2021,61,41
2021,63,63
2021,64,64
2021,68,68
2021,70,70
2021,71,71
2021,73,73
2021,74,74
2021,75,74
2021,76,76
2021,77,77
2021,78,78
2021,80,80
2021,81,81
2021,85,85
2021,96,96
2021,98,98
2021,100,100
2021,101,101
2021,102,102
2021,103,103
2021,106,106
2021,108,108
2021,111,111
2021,113,113
2021,116,116
2021,120,120
2021,123,123
2021,125,125
2021,126,152
2021,129,129
2021,130,130
2021,133,133
2021,134,134
2021,136,136
2021,138,138
2021,140,163
2021,142,142
2021,145,145
2021,147,147
2021,150,150
2021,152,152
2021,153,152
2021,155,155
2021,156,156
2021,157,157
2021,158,158
2021,160,160
2021,161,161
2021,162,162
2021,163,163
2021,165,165
2021,167,167
2021,177,177
2021,178,178
2021,180,180
2021,181,181
2021,182,182
2021,183,183
2021,184,184
2021,186,186
2021,188,188
2021,191,188
2021,193,193
2021,195,195
2021,199,199
2021,200,200
2021,201,201
2021,204,204
2021,206,206
2021,209,209
2021,211,211
2021,213,213
2021,214,214
2021,216,216
2021,219,219
2021,221,221
2021,223,223
2021,224,224
2021,225,225
2021,226,226
2021,228,228
2021,230,219
2021,231,231
2021,233,233
2021,236,236
2021,238,239
2021,239,239
2021,242,242
2021,244,226
2021,245,225
2021,246,246
2021,247,247
2021,251,251
2021,252,252
2021,254,254
2021,255,255
2021,256,256
2021,258,258
2021,261,261
2021,262,262
2021,263,263
2021,266,266
2021,267,267
2021,269,269
2021,271,271
2021,273,273
2021,274,274
2021,276,276
2021,277,277
