"","ID","transponder"
"1","B1P5970","86E341F9C66F0001"
"2","B1P5971","384341F9C66F0001"
"3","B1P5972","AB0341F9C66F0001"
"4","B1P5973","421341F9C66F0001"
"5","B1P5974","9B2341F9C66F0001"
"6","B1P5975","F21341F9C66F0001"
"7","B1P5976","47E341F9C66F0001"
"8","B1P5977","0CE741F9C66F0001"
"9","B1P5978","98E741F9C66F0001"
"10","B1P5979","9F6741F9C66F0001"
"11","B1P5980","FF6741F9C66F0001"
"12","B1P5981","C4E741F9C66F0001"
"13","B1P5982","08E741F9C66F0001"
"14","B1P5983","84E741F9C66F0001"
"15","B1P5984","F2E741F9C66F0001"
"16","B1P5985","3F6741F9C66F0001"
"17","B1P5986","8F6741F9C66F0001"
"18","B1P5987","776741F9C66F0001"
"19","B1P5988","60E741F9C66F0001"
"20","B1P5989","68E741F9C66F0001"
"21","B1P5991","5CE741F9C66F0001"
"22","B1P5990","B4E741F9C66F0001"
"23","B1P5992","5F6741F9C66F0001"
"24","B1P5993","00E741F9C66F0001"
"25","B1V5464","2CE741F9C66F0001"
"26","B1V5465","9CE741F9C66F0001"
"27","B1V5466","74E741F9C66F0001"
"28","B1V5467","72E741F9C66F0001"
"29","B2V8433","0FC741F9C66F0001"
"30","B2V8169","67C741F9C66F0001"
"31","B2V8434","21C741F9C66F0001"
"32","B2V8435","536741F9C66F0001"
"33","B2F5436","C96741F9C66F0001"
"34","B2V8436","E82741F9C66F0001"
"35","B2V8437","6EC741F9C66F0001"
"36","B2V8438","ADC741F9C66F0001"
"37","B2F5628","676741F9C66F0001"
"38","B2V8439","DEC741F9C66F0001"
"39","B2V8440","516741F9C66F0001"
"40","B2V8441","376741F9C66F0001"
"41","B2F5366","1BC741F9C66F0001"
"42","B2F5443","F42741F9C66F0001"
"43","B2V8442","6DC741F9C66F0001"
"44","B2V8443","15C741F9C66F0001"
"45","B2V8124","87C741F9C66F0001"
"46","B2V8444","43C741F9C66F0001"
"47","B2V8445","6B6741F9C66F0001"
"48","B2V8446","A3C741F9C66F0001"
"49","B2V8447","1EC741F9C66F0001"
"50","B2V8448","396741F9C66F0001"
"51","B2V8449","76C741F9C66F0001"
"52","B2V8450","542741F9C66F0001"
"53","B2V8451","5B6741F9C66F0001"
"54","B2V8452","8DC741F9C66F0001"
"55","B2V8099","A7C741F9C66F0001"
"56","B2V8453","742741F9C66F0001"
"57","B1V5537","A82741F9C66F0001"
"58","B2V8454","45C741F9C66F0001"
"59","B2V8455","F02741F9C66F0001"
"60","B2V8456","C1C741F9C66F0001"
"61","B2V8457","702741F9C66F0001"
"62","B2V8458","C42741F9C66F0001"
"63","B2V8459","0EC741F9C66F0001"
"64","B2V8460","796741F9C66F0001"
"65","B2V8461","F82741F9C66F0001"
"66","B1V5391","EB6741F9C66F0001"
"67","B2V8462","F9C741F9C66F0001"
"68","B2V8463","136741F9C66F0001"
"69","B2F5500","C5C741F9C66F0001"
"70","B2V8464","0BC741F9C66F0001"
"71","B2V8465","27C741F9C66F0001"
"72","B2V8466","D3C741F9C66F0001"
"73","B2V8467","8BC741F9C66F0001"
"74","B1V5533","E9C741F9C66F0001"
"75","B1V5534","61C741F9C66F0001"
"76","B1V5535","71C741F9C66F0001"
"77","B1V5536","AEC741F9C66F0001"
"78","B1P5984","13C741F9C66F0001"
"79","B1V5538","3DC741F9C66F0001"
"80","B1V5539","BDC741F9C66F0001"
"81","B1V5540","4EC741F9C66F0001"
"82","B1V5541","49C741F9C66F0001"
"83","B1V5542","9EC741F9C66F0001"
"84","B1V5543","93C741F9C66F0001"
"85","B1V5544","23C741F9C66F0001"
"86","B1V5545","83C741F9C66F0001"
"87","B1V5546","CEC741F9C66F0001"
"88","B1V5547","FDC741F9C66F0001"
"89","B1V5548","2DC741F9C66F0001"
"90","B1V5549","91C741F9C66F0001"
"91","B1P5992","89C741F9C66F0001"
"92","B1V5550","5DC741F9C66F0001"
"93","B1V5553","B1C741F9C66F0001"
"94","B1V5551","BEC741F9C66F0001"
"95","B1V5552","D6C741F9C66F0001"
"96","B1P5981","A9C741F9C66F0001"
"97","B1V5554","D5C741F9C66F0001"
"98","B1V5555","DDC741F9C66F0001"
"99","B1V5556","79C741F9C66F0001"
"100","B1V5557","4DC741F9C66F0001"
