box,transp,ID,age,treatment,put_out,removed
4,74C0000000008001,B4P9127,2,light,2021-04-07,2021-05-03
26,28C0000000008001,B4P9170,2,light,2021-04-14,2021-05-03
30,2C30000000008001,B4X8835,2,light,2021-04-07,2021-04-21
39,020196A801AF0001,B4H1675,2,light,2021-04-14,2021-05-03
41,DB30000000008001,B4X8991,1,dummy,2021-04-21,2021-05-03
44,28C0000000008001,B4P9170,2,light,2021-04-07,2021-04-21
45,3.58E+15,B4P9497,2,dummy,2021-04-07,2021-05-03
55,A890000000008001,B4X8530,2,light,2021-04-07,2021-04-26
59,C3B0000000008001,B4X8644,1,dummy,2021-04-07,2021-05-03
61,62D0000000008001,B4X1858,2,light,2021-04-07,2021-05-03
71,3AC213A801AF0001,B4P8576,2,light,2021-04-07,2021-05-03
78,6.5E+15,B4P8196,2,dummy,2021-04-07,2021-05-03
81,F6C213A801AF0001,B4H1828,2,light,2021-04-07,2021-05-03
86,CE4213A801AF0001,B4H1064,2,light,2021-04-14,2021-05-03
89,C3B0000000008001,B4X8644,1,dummy,2021-04-21,2021-05-03
102,FB30000000008001,B4X8995,1,dummy,2021-04-07,2021-04-21
105,9FF0000000008001,B5A9985,1,light,2021-04-07,2021-05-03
113,10B0000000008001,B5A9504,NA,light,2021-04-21,2021-05-03
117,F230000000008001,B4X1912,2,light,2021-04-07,2021-05-03
125,B9A0000000008001,B4X1240,2,light,2021-04-07,2021-05-03
131,7.83E+15,B4X8857,2,light,2021-04-07,2021-04-21
132,8.1E+14,B4X8372,2,dummy,2021-04-07,2021-05-03
133,C000000000008001,B4P8598,2,light,2021-04-07,2021-05-03
136,73D0000000008001,B4P8414,2,light,2021-04-07,2021-04-21
143,D2F0000000008001,B4X8975,1,dummy,2021-04-07,2021-05-03
147,6.73E+15,B5A9457,1,light,2021-04-07,2021-05-03
148,6.76E+15,B4X1624,2,dummy,2021-04-14,2021-05-03
153,E4D0000000008001,B4X1473,2,dummy,2021-04-07,2021-05-03
155,5.5E+14,B4X8586,2,light,2021-04-07,2021-05-03
162,D2F0000000008001,B4X8975,1,dummy,2021-04-14,2021-04-21
171,54F0000000008001,B5A9715,1,light,2021-04-21,2021-05-03
172,6.32E+15,B4P9951,2,light,2021-04-07,2021-04-21
176,1A70000000008001,B4X8613,1,dummy,2021-04-07,2021-05-03
180,DA2213A801AF0001,B4H0223,2,light,2021-04-14,2021-05-03
186,A2E0000000008001,B4P9692,2,light,2021-04-14,2021-05-03
187,A2E0000000008001,B4P9692,2,light,2021-04-07,2021-04-23
204,4FC213A801AF0001,B4H0518,2,light,2021-04-07,2021-05-03
206,DCB0000000008001,B5A9100,1,light,2021-04-07,2021-05-03
210,3.2E+14,B4P9926,2,dummy,2021-04-07,2021-05-03
218,3.74E+15,B4P9104,2,dummy,2021-04-07,2021-05-03
219,92D0000000008001,B4X1306,2,light,2021-04-07,2021-05-03
224,DF70000000008001,B5A9915,1,dummy,2021-04-14,2021-05-03
225,8FA0000000008001,B4X1585,2,light,2021-04-21,2021-05-03
228,6.05E+15,B4X1708,2,light,2021-04-07,2021-05-03
229,AD08000000008001,B5A9289,1,light,2021-04-21,2021-05-03
237,56C0000000008001,B4P9213,2,light,2021-04-07,2021-05-03
243,F070000000008001,B4X8868,1,dummy,2021-04-14,2021-05-03
247,AAA0000000008001,B4X1213,2,light,2021-04-07,2021-05-03
253,B260000000008001,B4X1181,2,light,2021-04-07,2021-05-03
262,DE70000000008001,B4X8979,1,light,2021-04-07,2021-05-03
264,7.2E+14,B4X1340,2,light,2021-04-07,2021-05-03
273,6.25E+15,B4P9239,2,dummy,2021-04-07,2021-05-03
274,22F0000000008001,B4X8954,1,dummy,2021-04-07,2021-05-03
